Unnamed: 0,Type of dwelling,General Zoning,Linear feet of street,Lot size in square feet,Type of Acess Road to Property,General shape of property,Flatness of the property,Utilities,Lot configuration,Slope of property,Neighborhood,Proximity to various conditions,Condition2,BldgType,Style of dwelling,Rates the overall material,Rates the overall condition of the house,Original construction date,YearRemodAdd,Type of roof,Roof material,Exterior covering on the house,Exterior2nd,Masonry veneer area in square feet, Evaluates the quality of the material on the exterior,Evaluates the present condition of the material on the exterior,Foundation,Evaluates the height of the basement,Evaluate the general condition of the basement,Refers to walkout or garden-level walls,Rating of basement finished area,Type 1 finished square feet,Rating of basement finished area (if multiple types),Type 2 finished square feet,Unfinished square feet of basement area,Total square feet of basement area,Type of Heating,Heating quality and condition,Central air conditioning,Electrical system,First Floor square feet,econd-floor square feet,	Low-quality finished square feet,Above ground living area square feet,Basement full bathrooms,Basement half bathrooms,Full bathrooms above grade,Half Bathroom,BedroomAbvGr,KitchenAbvGr,Kitchen Quality,Total rooms above grade (does not include bathrooms),Home functionality (Assume typical unless deductions are warranted),Number of fireplaces,Fireplace quality,Garage location,The year garage was built,GarageFinish,Size of garage in car capacity,Size of garage in square feet,Garage quality,Garage condition,PavedDrive,Wood deck area in square feet,Open porch area in square feet,Enclosed porch area in square feet,Three-season porch area in square feet,Screen porch area in square feet,Pool area in square feet,Pool quality,Fence Quality,Miscellaneous feature not covered in other categories,$Value of miscellaneous feature,Month Sold (MM),Year Sold (YYYY),SaleType,SaleCondition,SalePrice
1337,1-STORY 1945 & OLDER,Residential Medium Density,153,4118,Paved,Slightly irregular,Bnk,"All public Utilities (E,G,W,& S)",Corner,Moderate Slope,OldTown,Feedr,Norm,1Fam,One story,Below Average,Below Average,1941,1950,Gable,Standard (Composite) Shingle,Wd Sdng,Wd Sdng,0,TA,Average/Typical,CBlock,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Unfinished,0,Unfinished,0,693,693,Gravity furnace,Fair,N,Fuse Box over 60 AMP and all Romex wiring (Average),693,0,0,693,0,0,1,0,2,1,Fair,4,Typical Functionality,0,No,No,2005.0,No,0,0,No,No,Dirt/Gravel,0,20,0,0,0,0,No,No,No,0,Mar,2006,Warranty Deed - Conventional,Normal Sale,52500
1338,2-STORY 1946 & NEWER,Residential Low-Density,95,13450,Paved,Slightly irregular,Lvl,"All public Utilities (E,G,W,& S)",Corner,Gentle slope,College Creek,Norm,Norm,1Fam,Two-story,Good,Average,2002,2002,Gable,Standard (Composite) Shingle,Vinyl Siding,VinylSd,0,Gd,Average/Typical,PConc,Good (90-99 inches),Typical - slight dampness allowed,No Exposure,Good Living Quarters,700,Unfinished,0,216,916,Gas forced warm air furnace,Excellent,Y,Standard Circuit Breakers & Romex,920,941,0,1861,1,0,2,1,3,1,Good,8,Typical Functionality,0,No,Built-In (Garage part of the house - typically has room above the garage),2002.0,Rough Finished,2,492,Typical/Average,Typical/Average,Paved,146,91,0,0,0,0,No,No,No,0,Jun,2006,Warranty Deed - Conventional,Normal Sale,200000
1339,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,120,9560,Paved,Slightly irregular,Lvl,"All public Utilities (E,G,W,& S)",Corner,Gentle slope,College Creek,Norm,Norm,1Fam,One story,Average,Good,1972,1972,Hip,Standard (Composite) Shingle,Metal Siding,MetalSd,0,TA,Good,CBlock,Typical (80-89 inches),Typical - slight dampness allowed,Minimum Exposure,Average Rec Room,360,Unfinished,0,504,864,Gas forced warm air furnace,Excellent,Y,Standard Circuit Breakers & Romex,864,0,0,864,0,0,1,0,3,1,Typical/Average,5,Typical Functionality,0,No,Attached to the home,1972.0,Rough Finished,1,288,Typical/Average,Typical/Average,Paved,0,0,0,0,0,0,No,No,No,0,Jun,2006,Warranty Deed - Conventional,Normal Sale,128500
1340,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,70,8294,Paved,Regular,Lvl,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,NAmes,Norm,Norm,1Fam,One story,Below Average,Average,1971,1971,Gable,Standard (Composite) Shingle,Metal Siding,MetalSd,0,TA,Average/Typical,CBlock,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Unfinished,0,Unfinished,0,858,858,Gas forced warm air furnace,Average/Typical,Y,Standard Circuit Breakers & Romex,872,0,0,872,0,0,1,0,3,1,Typical/Average,5,Typical Functionality,0,No,Detached from home,1974.0,Unfinished,4,480,Typical/Average,Typical/Average,Paved,0,0,0,0,0,0,No,Good Wood,No,0,Jun,2007,Warranty Deed - Conventional,Normal Sale,123000
1341,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,66,13695,Paved,Regular,Lvl,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,SawyerW,RRAe,Norm,1Fam,One story,Above Average,Average,2003,2004,Gable,Standard (Composite) Shingle,Vinyl Siding,VinylSd,0,TA,Average/Typical,PConc,Good (90-99 inches),Typical - slight dampness allowed,No Exposure,Good Living Quarters,814,Unfinished,0,300,1114,Gas forced warm air furnace,Excellent,Y,Standard Circuit Breakers & Romex,1114,0,0,1114,1,0,1,0,3,1,Good,6,Typical Functionality,0,No,Detached from home,2004.0,Unfinished,2,576,Typical/Average,Typical/Average,Paved,0,78,0,0,0,0,No,No,No,0,Jul,2008,Warranty Deed - Conventional,Normal Sale,155000
1342,2-STORY 1946 & NEWER,Residential Low-Density,0,9375,Paved,Regular,Lvl,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,College Creek,Norm,Norm,1Fam,Two-story,Very Good,Average,2002,2002,Gable,Standard (Composite) Shingle,Vinyl Siding,VinylSd,149,Gd,Average/Typical,PConc,Good (90-99 inches),Typical - slight dampness allowed,No Exposure,Unfinished,0,Unfinished,0,1284,1284,Gas forced warm air furnace,Excellent,Y,Standard Circuit Breakers & Romex,1284,885,0,2169,0,0,2,1,3,1,Good,7,Typical Functionality,1,Good - Masonry Fireplace on the main level,Attached to the home,2002.0,Rough Finished,2,647,Typical/Average,Typical/Average,Paved,192,87,0,0,0,0,No,No,No,0,Aug,2007,Warranty Deed - Conventional,Normal Sale,228500
1343,1-1/2 STORY FINISHED ALL AGES,Residential Low-Density,57,7558,Paved,Regular,Bnk,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Crawford,Norm,Norm,1Fam,One and one-half story &2nd level finished,Above Average,Above Average,1928,1950,Gable,Standard (Composite) Shingle,Brick Face,Stone,0,TA,Average/Typical,BrkTil,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Unfinished,0,Unfinished,0,896,896,Gas forced warm air furnace,Good,Y,Standard Circuit Breakers & Romex,1172,741,0,1913,0,0,1,1,3,1,Typical/Average,9,Typical Functionality,1,Average - Prefabricated Fireplace in the main living area or Masonry Fireplace in the basement,Detached from home,1929.0,Unfinished,2,342,Fair,Fair,Paved,0,0,0,0,0,0,No,No,No,0,Mar,2009,Warranty Deed - Conventional,Normal Sale,177000
1344,2-STORY 1946 & NEWER,Residential Low-Density,85,11103,Paved,Slightly irregular,Lvl,"All public Utilities (E,G,W,& S)",Corner,Gentle slope,College Creek,Norm,Norm,1Fam,Two-story,Good,Average,2006,2006,Gable,Standard (Composite) Shingle,Vinyl Siding,VinylSd,0,Gd,Average/Typical,PConc,Good (90-99 inches),Typical - slight dampness allowed,No Exposure,Unfinished,0,Unfinished,0,728,728,Gas forced warm air furnace,Excellent,Y,Standard Circuit Breakers & Romex,728,728,0,1456,0,0,2,1,3,1,Good,8,Typical Functionality,1,Average - Prefabricated Fireplace in the main living area or Masonry Fireplace in the basement,Attached to the home,2006.0,Finished,2,440,Typical/Average,Typical/Average,Paved,0,0,0,0,0,0,No,No,No,0,Jul,2007,Home just constructed and sold,Home was not completed when last assessed (associated with New Homes),155835
1345,1-STORY 1945 & OLDER,Residential Medium Density,50,6000,Paved,Regular,Lvl,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,OldTown,Norm,Norm,1Fam,One story,Below Average,Below Average,1920,1950,Hip,Standard (Composite) Shingle,Metal Siding,MetalSd,0,TA,Average/Typical,PConc,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Average Living Quarters,250,Unfinished,0,710,960,Gas forced warm air furnace,Good,Y,Fuse Box over 60 AMP and all Romex wiring (Average),960,0,0,960,0,0,1,0,2,1,Fair,5,Typical Functionality,0,No,Detached from home,1997.0,Unfinished,1,308,Typical/Average,Typical/Average,Paved,0,0,168,0,0,0,No,No,No,0,Jul,2007,Warranty Deed - Conventional,Normal Sale,108500
1346,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,0,20781,Paved,Moderately Irregular,Lvl,"All public Utilities (E,G,W,& S)",CulDSac,Gentle slope,NWAmes,PosN,Norm,1Fam,One story,Good,Good,1968,2003,Hip,Standard (Composite) Shingle,Brick Face,HdBoard,0,TA,Average/Typical,CBlock,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Below Average Living Quarters,297,Average Rec Room,68,1203,1568,Gas forced warm air furnace,Average/Typical,Y,Standard Circuit Breakers & Romex,2156,0,0,2156,0,0,2,0,3,1,Typical/Average,9,Typical Functionality,1,Good - Masonry Fireplace on the main level,Attached to the home,1968.0,Rough Finished,2,508,Good,Typical/Average,Paved,0,80,0,290,0,0,No,No,No,0,Jun,2006,Warranty Deed - Conventional,Normal Sale,262500
1347,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,93,15306,Paved,Slightly irregular,HLS,"All public Utilities (E,G,W,& S)",Corner,Gentle slope,Timber,Norm,Norm,1Fam,One story,Very Good,Average,2006,2007,Gable,Standard (Composite) Shingle,Vinyl Siding,VinylSd,100,Gd,Average/Typical,PConc,Excellent (100+ inches),Typical - slight dampness allowed,Good Exposure,Good Living Quarters,80,Unfinished,0,1652,1732,Gas forced warm air furnace,Excellent,Y,Standard Circuit Breakers & Romex,1776,0,0,1776,1,0,2,0,3,1,Good,7,Typical Functionality,1,Good - Masonry Fireplace on the main level,Attached to the home,2006.0,Finished,3,712,Typical/Average,Typical/Average,Paved,0,0,0,0,0,0,No,No,No,0,May,2007,Home just constructed and sold,Home was not completed when last assessed (associated with New Homes),283463
1348,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,0,16196,Paved,Irregular,Low,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,SawyerW,Norm,Norm,1Fam,One story,Good,Average,1998,1998,Gable,Standard (Composite) Shingle,Vinyl Siding,VinylSd,0,Gd,Average/Typical,PConc,Good (90-99 inches),Typical - slight dampness allowed,Good Exposure,Good Living Quarters,1443,Unfinished,0,39,1482,Gas forced warm air furnace,Excellent,Y,Standard Circuit Breakers & Romex,1494,0,0,1494,1,0,2,0,3,1,Good,5,Typical Functionality,1,Fair - Prefabricated Fireplace in the basement,Attached to the home,1998.0,Rough Finished,2,514,Typical/Average,Typical/Average,Paved,402,25,0,0,0,0,No,No,No,0,Aug,2007,Warranty Deed - Conventional,Normal Sale,215000
1349,2-STORY 1945 & OLDER,Residential Medium Density,50,5250,Paved,Regular,Lvl,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,OldTown,Norm,Norm,1Fam,Two-story,Very Good,Average,1872,1987,Gable,Standard (Composite) Shingle,Metal Siding,MetalSd,0,TA,Good,BrkTil,Typical (80-89 inches),Fair - dampness or some cracking or settling,No Exposure,Low Quality,259,Unfinished,0,425,684,Hot water or steam heat other than gas,Fair,N,Standard Circuit Breakers & Romex,938,1215,205,2358,0,0,2,0,4,1,Typical/Average,8,Typical Functionality,0,No,No,2005.0,No,0,0,No,No,Paved,0,54,20,0,0,0,No,No,No,0,Dec,2008,Warranty Deed - Conventional,Normal Sale,122000
1350,DUPLEX - ALL STYLES AND AGES,Residential Low-Density,91,11643,Paved,Regular,Lvl,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,NAmes,Artery,Norm,Duplex,Two-story,Average,Average,1969,1969,Gable,Standard (Composite) Shingle,Metal Siding,MetalSd,368,TA,Average/Typical,CBlock,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Low Quality,500,Unfinished,0,748,1248,Gas forced warm air furnace,Average/Typical,Y,Standard Circuit Breakers & Romex,1338,1296,0,2634,1,1,2,2,6,2,Typical/Average,12,Typical Functionality,0,No,Detached from home,1969.0,Unfinished,4,968,Typical/Average,Typical/Average,Paved,0,0,0,0,0,0,No,No,No,0,Aug,2009,Warranty Deed - Conventional,Normal Sale,200000
1351,2-STORY 1946 & NEWER,Residential Low-Density,70,9247,Paved,Slightly irregular,Lvl,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,NAmes,Norm,Norm,1Fam,Two-story,Above Average,Above Average,1962,1962,Gable,Standard (Composite) Shingle,Hard Board,HdBoard,318,TA,Average/Typical,CBlock,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Average Rec Room,319,Unfinished,0,539,858,Gas forced warm air furnace,Excellent,Y,Standard Circuit Breakers & Romex,858,858,0,1716,0,0,1,1,4,1,Typical/Average,8,Typical Functionality,1,Good - Masonry Fireplace on the main level,Attached to the home,1962.0,Finished,2,490,Typical/Average,Typical/Average,Paved,0,84,0,0,120,0,No,No,No,0,Mar,2008,Warranty Deed - Conventional,Normal Sale,171000
1352,1-1/2 STORY FINISHED ALL AGES,Residential Medium Density,50,6000,Paved,Regular,Lvl,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Brookside,Norm,Norm,1Fam,One and one-half story &2nd level finished,Above Average,Excellent,1937,2000,Gable,Standard (Composite) Shingle,Metal Siding,MetalSd,0,Gd,Average/Typical,BrkTil,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Unfinished,0,Unfinished,0,698,698,Gas forced warm air furnace,Average/Typical,Y,Standard Circuit Breakers & Romex,786,390,0,1176,0,0,1,0,2,1,Typical/Average,4,Typical Functionality,0,No,Detached from home,1999.0,Unfinished,2,624,Typical/Average,Typical/Average,Dirt/Gravel,210,0,0,0,0,0,No,No,No,0,Jul,2009,Warranty Deed - Conventional,Normal Sale,134900
1353,1-1/2 STORY FINISHED ALL AGES,Residential Low-Density,56,14720,Paved,Slightly irregular,Lvl,"All public Utilities (E,G,W,& S)",CulDSac,Gentle slope,Northridge,Norm,Norm,1Fam,One and one-half story &2nd level finished,Very Good,Average,1995,1996,Hip,Standard (Composite) Shingle,Vinyl Siding,VinylSd,579,Gd,Average/Typical,PConc,Good (90-99 inches),Typical - slight dampness allowed,Average Exposure (split levels or foyers typically score average or above),Good Living Quarters,816,Unfinished,0,1217,2033,Gas forced warm air furnace,Excellent,Y,Standard Circuit Breakers & Romex,2053,1185,0,3238,1,0,2,1,4,1,Good,9,Typical Functionality,1,Excellent - Exceptional Masonry Fireplace,Attached to the home,1996.0,Finished,3,666,Typical/Average,Typical/Average,Paved,283,86,0,0,0,0,No,No,No,0,Mar,2010,Warranty Deed - Conventional,Normal Sale,410000
1354,2-STORY 1946 & NEWER,Residential Low-Density,0,10316,Paved,Slightly irregular,Lvl,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,College Creek,Norm,Norm,1Fam,Two-story,Good,Average,2000,2000,Gable,Standard (Composite) Shingle,Vinyl Siding,VinylSd,0,Gd,Average/Typical,PConc,Good (90-99 inches),Typical - slight dampness allowed,No Exposure,Good Living Quarters,735,Unfinished,0,257,992,Gas forced warm air furnace,Excellent,Y,Standard Circuit Breakers & Romex,992,873,0,1865,1,0,2,1,3,1,Good,7,Typical Functionality,1,Average - Prefabricated Fireplace in the main living area or Masonry Fireplace in the basement,Attached to the home,2000.0,Rough Finished,3,839,Typical/Average,Typical/Average,Paved,0,184,0,0,0,0,No,No,No,0,Jun,2008,Warranty Deed - Conventional,Normal Sale,235000
1355,SPLIT OR MULTI-LEVEL,Residential Low-Density,102,10192,Paved,Slightly irregular,Lvl,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,NWAmes,Norm,Norm,1Fam,Split Level,Good,Above Average,1968,1992,Gable,Standard (Composite) Shingle,Metal Siding,MetalSd,143,TA,Average/Typical,CBlock,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Unfinished,0,Unfinished,0,570,570,Gas forced warm air furnace,Good,Y,Standard Circuit Breakers & Romex,1222,698,0,1920,0,0,3,0,4,1,Good,8,Typical Functionality,1,Average - Prefabricated Fireplace in the main living area or Masonry Fireplace in the basement,Attached to the home,1968.0,Rough Finished,2,487,Typical/Average,Typical/Average,Paved,0,98,0,0,0,0,No,Good Privacy,No,0,Sep,2006,Warranty Deed - Conventional,Normal Sale,170000
1356,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,0,9477,Paved,Regular,Lvl,"All public Utilities (E,G,W,& S)",Corner,Gentle slope,NAmes,Norm,Norm,1Fam,One story,Average,Average,1966,1966,Gable,Standard (Composite) Shingle,Hard Board,HdBoard,65,TA,Average/Typical,CBlock,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Average Rec Room,340,Unfinished,0,524,864,Gas forced warm air furnace,Average/Typical,Y,Standard Circuit Breakers & Romex,892,0,0,892,0,0,1,0,3,1,Typical/Average,5,Typical Functionality,0,No,Attached to the home,1966.0,Rough Finished,1,264,Typical/Average,Typical/Average,Paved,0,0,0,0,0,0,No,Good Wood,No,0,Oct,2008,Warranty Deed - Conventional,Normal Sale,110000
1357,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,0,12537,Paved,Slightly irregular,Lvl,"All public Utilities (E,G,W,& S)",CulDSac,Gentle slope,NAmes,Norm,Norm,1Fam,One story,Average,Above Average,1971,2008,Gable,Standard (Composite) Shingle,Vinyl Siding,VinylSd,0,TA,Average/Typical,CBlock,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Good Living Quarters,734,Unfinished,0,344,1078,Gas forced warm air furnace,Excellent,Y,Standard Circuit Breakers & Romex,1078,0,0,1078,1,0,1,1,3,1,Typical/Average,6,Typical Functionality,1,Fair - Prefabricated Fireplace in the basement,Attached to the home,1971.0,Finished,2,500,Typical/Average,Typical/Average,Paved,0,0,0,0,0,0,No,No,No,0,Apr,2010,Warranty Deed - Conventional,Normal Sale,149900
1358,2-STORY PUD - 1946 & NEWER,Floating Village Residential,0,2117,Paved,Regular,Lvl,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Somerst,Norm,Norm,Twnhs,Two-story,Above Average,Average,2000,2000,Gable,Standard (Composite) Shingle,Metal Siding,MetalSd,216,Gd,Average/Typical,PConc,Good (90-99 inches),Typical - slight dampness allowed,No Exposure,Good Living Quarters,378,Unfinished,0,378,756,Gas forced warm air furnace,Excellent,Y,Standard Circuit Breakers & Romex,769,804,0,1573,0,0,2,1,3,1,Good,5,Typical Functionality,0,No,Detached from home,2000.0,Unfinished,2,440,Typical/Average,Typical/Average,Paved,0,32,0,0,0,0,No,No,No,0,Jun,2010,Warranty Deed - Conventional,Normal Sale,177500
1359,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,129,16737,Paved,Regular,Lvl,"All public Utilities (E,G,W,& S)",Frontage on 3 sides of the property,Gentle slope,Northridge Heights,Norm,Norm,1Fam,One story,Excellent,Average,2004,2005,Hip,Standard (Composite) Shingle,Vinyl Siding,VinylSd,66,Gd,Average/Typical,PConc,Excellent (100+ inches),Typical - slight dampness allowed,Average Exposure (split levels or foyers typically score average or above),Good Living Quarters,1447,Unfinished,0,533,1980,Gas forced warm air furnace,Excellent,Y,Standard Circuit Breakers & Romex,1980,0,0,1980,1,0,2,0,3,1,Excellent,8,Typical Functionality,1,Good - Masonry Fireplace on the main level,Attached to the home,2004.0,Finished,3,770,Typical/Average,Typical/Average,Paved,194,45,0,0,0,0,No,No,No,0,Sep,2006,Warranty Deed - Conventional,Normal Sale,315000
1360,2-STORY 1945 & OLDER,Residential Low-Density,51,9842,Paved,Regular,Lvl,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,SWISU,Feedr,Norm,1Fam,Two-story,Average,Above Average,1921,1998,Gable,Standard (Composite) Shingle,Metal Siding,Wd Sdng,0,TA,Average/Typical,BrkTil,Typical (80-89 inches),Fair - dampness or some cracking or settling,No Exposure,Unfinished,0,Unfinished,0,612,612,Gas forced warm air furnace,Excellent,Y,Standard Circuit Breakers & Romex,990,1611,0,2601,0,0,3,1,4,1,Typical/Average,8,Typical Functionality,0,No,Built-In (Garage part of the house - typically has room above the garage),1998.0,Rough Finished,2,621,Typical/Average,Typical/Average,Paved,183,0,301,0,0,0,No,No,No,0,May,2008,Warranty Deed - Conventional,Normal Sale,189000
1361,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,124,16158,Paved,Slightly irregular,Low,"All public Utilities (E,G,W,& S)",Inside lot,Moderate Slope,StoneBr,Norm,Norm,1Fam,One story,Good,Average,2005,2005,Hip,Standard (Composite) Shingle,Vinyl Siding,VinylSd,16,Gd,Average/Typical,PConc,Excellent (100+ inches),Typical - slight dampness allowed,Average Exposure (split levels or foyers typically score average or above),Average Living Quarters,1274,Unfinished,0,256,1530,Gas forced warm air furnace,Excellent,Y,Standard Circuit Breakers & Romex,1530,0,0,1530,1,0,2,0,3,1,Good,7,Typical Functionality,1,Good - Masonry Fireplace on the main level,Attached to the home,2005.0,Finished,2,430,Typical/Average,Typical/Average,Paved,168,36,0,0,0,0,No,No,No,0,Jun,2009,Warranty Deed - Conventional,Normal Sale,260000
1362,1-1/2 STORY FINISHED ALL AGES,Residential Low-Density,0,12513,Paved,Slightly irregular,Lvl,"All public Utilities (E,G,W,& S)",Frontage on 2 sides of the property,Gentle slope,NAmes,Feedr,Norm,1Fam,One and one-half story &2nd level finished,Below Average,Below Average,1920,2007,Gable,Standard (Composite) Shingle,Vinyl Siding,VinylSd,0,TA,Good,BrkTil,Typical (80-89 inches),Fair - dampness or some cracking or settling,No Exposure,Unfinished,0,Unfinished,0,715,715,Gas forced warm air furnace,Good,Y,Standard Circuit Breakers & Romex,1281,457,0,1738,0,0,2,0,4,1,Typical/Average,7,Typical Functionality,1,Good - Masonry Fireplace on the main level,Attached to the home,1920.0,Unfinished,1,368,Typical/Average,Typical/Average,Paved,55,0,0,0,0,0,No,No,No,0,Jun,2009,Warranty Deed - Conventional,Normal Sale,104900
1363,2-STORY 1946 & NEWER,Residential Low-Density,73,8499,Paved,Slightly irregular,Lvl,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Gilbert,Norm,Norm,1Fam,Two-story,Above Average,Average,2006,2007,Gable,Standard (Composite) Shingle,Vinyl Siding,VinylSd,0,TA,Average/Typical,PConc,Good (90-99 inches),Typical - slight dampness allowed,No Exposure,Unfinished,0,Unfinished,0,616,616,Gas forced warm air furnace,Excellent,Y,Standard Circuit Breakers & Romex,616,796,0,1412,0,0,2,1,3,1,Good,6,Typical Functionality,1,Good - Masonry Fireplace on the main level,Built-In (Garage part of the house - typically has room above the garage),2007.0,Finished,2,432,Typical/Average,Typical/Average,Paved,0,36,0,0,0,0,No,No,No,0,Mar,2007,Home just constructed and sold,Home was not completed when last assessed (associated with New Homes),156932
1364,2-STORY PUD - 1946 & NEWER,Floating Village Residential,30,3180,Paved,Regular,Lvl,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Somerst,Norm,Norm,TwnhsE,Two-story,Good,Average,2005,2005,Gable,Standard (Composite) Shingle,Metal Siding,MetalSd,0,Gd,Average/Typical,PConc,Good (90-99 inches),Typical - slight dampness allowed,No Exposure,Unfinished,0,Unfinished,0,600,600,Gas forced warm air furnace,Excellent,Y,Standard Circuit Breakers & Romex,520,600,80,1200,0,0,2,1,2,1,Good,4,Typical Functionality,0,No,Detached from home,2005.0,Rough Finished,2,480,Typical/Average,Typical/Average,Paved,0,166,0,0,0,0,No,No,No,0,Apr,2006,Warranty Deed - Conventional,"Abnormal Sale - trade, foreclosure, short sale",144152
1365,2-STORY 1946 & NEWER,Floating Village Residential,0,7500,Paved,Regular,Lvl,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Somerst,Norm,Norm,1Fam,Two-story,Good,Average,2000,2000,Gable,Standard (Composite) Shingle,Vinyl Siding,VinylSd,0,Gd,Average/Typical,PConc,Good (90-99 inches),Typical - slight dampness allowed,No Exposure,Good Living Quarters,533,Unfinished,0,281,814,Gas forced warm air furnace,Excellent,Y,Standard Circuit Breakers & Romex,814,860,0,1674,1,0,2,1,3,1,Good,7,Typical Functionality,0,No,Attached to the home,2000.0,Rough Finished,2,663,Typical/Average,Typical/Average,Paved,0,96,0,0,0,0,No,No,No,0,Jan,2010,Warranty Deed - Conventional,Normal Sale,216000
1366,2-STORY 1946 & NEWER,Residential Low-Density,68,9179,Paved,Slightly irregular,Lvl,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,College Creek,Norm,Norm,1Fam,Two-story,Good,Average,1999,1999,Gable,Standard (Composite) Shingle,Vinyl Siding,VinylSd,158,Gd,Average/Typical,PConc,Good (90-99 inches),Typical - slight dampness allowed,No Exposure,Good Living Quarters,633,Unfinished,0,240,873,Gas forced warm air furnace,Excellent,Y,Standard Circuit Breakers & Romex,882,908,0,1790,1,0,2,1,3,1,Good,7,Typical Functionality,0,No,Attached to the home,1999.0,Rough Finished,2,588,Typical/Average,Typical/Average,Paved,0,88,0,0,0,0,No,No,No,0,Jun,2008,Warranty Deed - Conventional,"Abnormal Sale - trade, foreclosure, short sale",193000
1367,2-STORY PUD - 1946 & NEWER,Residential Medium Density,41,2665,Paved,Regular,Lvl,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Meadow Village,Norm,Norm,TwnhsE,Two-story,Average,Above Average,1977,1977,Gable,Standard (Composite) Shingle,Cement Board,CmentBd,0,TA,Average/Typical,PConc,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Average Living Quarters,548,Average Rec Room,173,36,757,Gas forced warm air furnace,Excellent,Y,Standard Circuit Breakers & Romex,925,550,0,1475,0,0,2,0,4,1,Typical/Average,6,Typical Functionality,1,Average - Prefabricated Fireplace in the main living area or Masonry Fireplace in the basement,Attached to the home,1977.0,Rough Finished,1,336,Typical/Average,Typical/Average,Paved,104,26,0,0,0,0,No,No,No,0,Jul,2006,Warranty Deed - Conventional,Normal Sale,127000
1368,1-STORY PUD (Planned Unit Development) - 1946 & NEWER,Residential Medium Density,0,4435,Paved,Regular,Lvl,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,College Creek,Norm,Norm,TwnhsE,One story,Above Average,Average,2003,2004,Gable,Standard (Composite) Shingle,Vinyl Siding,VinylSd,170,Gd,Average/Typical,PConc,Good (90-99 inches),Typical - slight dampness allowed,Average Exposure (split levels or foyers typically score average or above),Good Living Quarters,685,Unfinished,0,163,848,Gas forced warm air furnace,Excellent,Y,Standard Circuit Breakers & Romex,848,0,0,848,1,0,1,0,1,1,Good,4,Typical Functionality,0,No,Attached to the home,2003.0,Finished,2,420,Typical/Average,Typical/Average,Paved,140,0,0,0,0,0,No,No,No,0,Jun,2009,Warranty Deed - Conventional,Normal Sale,144000
